Sample_Name;COSMIC_ID;Cancer_Type;Microsatellite_Instability_Status;Screen_Medium;Growth_Properties
HCC-56;1290907;COAD/READ;MSS/MSI-L;R;Adherent
HCT-116;905936;COAD/READ;MSI-H;R;Adherent
HCT-15;905937;COAD/READ;MSI-H;R;Adherent
HT-115;907289;COAD/READ;MSS/MSI-L;D/F12;Adherent
HT-29;905939;COAD/READ;MSS/MSI-L;R;Adherent
HT55;907287;COAD/READ;MSS/MSI-L;D/F12;Adherent
KM12;905989;COAD/READ;MSI-H;R;Adherent
LoVo;907790;COAD/READ;MSI-H;D/F12;Adherent
LS-1034;917486;COAD/READ;MSS/MSI-L;R;Adherent
LS-123;907792;COAD/READ;MSS/MSI-L;D/F12;Adherent
LS-180;998189;COAD/READ;MSI-H;D/F12;Adherent
LS-411N;907794;COAD/READ;MSI-H;R;Adherent
LS-513;907795;COAD/READ;MSS/MSI-L;R;Adherent
MDST8;1240173;COAD/READ;MSS/MSI-L;R;Adherent
NCI-H630;908482;COAD/READ;MSI-H;D/F12;Adherent
NCI-H716;908458;COAD/READ;MSS/MSI-L;R;Suspension
NCI-H747;908457;COAD/READ;MSS/MSI-L;R;Adherent
RCM-1;909263;COAD/READ;MSS/MSI-L;R;Adherent
RKO;909698;COAD/READ;MSI-H;D/F12;Adherent
SK-CO-1;909718;COAD/READ;MSS/MSI-L;R;Adherent
SNU-1040;1659823;COAD/READ;MSS/MSI-L;R;Adherent
SNU-175;1659928;COAD/READ;MSI-H;R;Suspension
SNU-407;1660034;COAD/READ;MSI-H;R;Adherent
SNU-61;1660035;COAD/READ;MSS/MSI-L;R;Adherent
SNU-81;1660036;COAD/READ;MSS/MSI-L;R;Adherent
SNU-C1;910905;COAD/READ;MSS/MSI-L;R;Suspension
SNU-C2B;909740;COAD/READ;MSI-H;R;Adherent
SNU-C5;1674021;COAD/READ;MSI-H;R;Adherent
SW1116;909746;COAD/READ;MSS/MSI-L;D/F12;Adherent
SW1417;909747;COAD/READ;MSS/MSI-L;D/F12;Adherent
SW1463;909748;COAD/READ;MSS/MSI-L;D/F12;Adherent
SW48;909751;COAD/READ;MSI-H;D/F12;Adherent
SW837;909755;COAD/READ;MSS/MSI-L;D/F12;Adherent
SW948;909757;COAD/READ;MSS/MSI-L;D/F12;Adherent
T84;909761;COAD/READ;MSS/MSI-L;D/F12;Adherent
C3A;910850;LIHC;MSS/MSI-L;D/F12;Adherent
Hep 3B2_1-7;1240147;LIHC;MSS/MSI-L;D/F12;Adherent
HLE;907057;LIHC;MSS/MSI-L;D/F12;Adherent
huH-1;1298146;LIHC;MSS/MSI-L;D/F12;Adherent
HuH-7;907071;LIHC;MSS/MSI-L;D/F12;Adherent
JHH-1;1298151;LIHC;MSS/MSI-L;D/F12;Adherent
JHH-6;1240159;LIHC;MSS/MSI-L;D/F12;Adherent
JHH-7;1240160;LIHC;MSS/MSI-L;D/F12;Adherent
SK-HEP-1;909719;LIHC;MSS/MSI-L;D/F12;Adherent
SNU-182;1240216;LIHC;MSS/MSI-L;R;Adherent
SNU-387;909736;LIHC;MSS/MSI-L;R;Adherent
SNU-398;1240217;LIHC;MSS/MSI-L;R;Adherent
SNU-423;909737;LIHC;MSS/MSI-L;R;Adherent
SNU-449;909738;LIHC;MSS/MSI-L;R;Adherent
SNU-475;909739;LIHC;MSS/MSI-L;R;Adherent
23132-87;910924;STAD;MSI-H;R;Adherent
AGS;906790;STAD;MSS/MSI-L;D/F12;Adherent
ECC10;906848;;MSS/MSI-L;R;Suspension
ECC12;906849;;MSS/MSI-L;R;Suspension
FU97;1290806;STAD;MSS/MSI-L;D/F12;Adherent
GCIY;906869;STAD;MSS/MSI-L;D/F12;Adherent
GT3TKB;907041;STAD;MSS/MSI-L;D/F12;Adherent
HGC-27;907055;STAD;MSS/MSI-L;D/F12;Adherent
Hs746T;1240151;STAD;MSS/MSI-L;D/F12;Adherent
HSC-39;1322224;STAD;MSS/MSI-L;D/F12;Suspension
IM-95;1240155;STAD;MSS/MSI-L;R;Adherent
KATOIII;907276;STAD;MSS/MSI-L;D/F12;Semi-Adherent
1 MKN;908138;;MSS/MSI-L;R;Adherent
28 MKN;908139;STAD;MSS/MSI-L;R;Adherent
45 MKN;925340;STAD;MSS/MSI-L;R;Adherent
7 MKN;924250;STAD;MSS/MSI-L;R;Adherent
NCI-N87;908461;STAD;MSS/MSI-L;R;Adherent
NCI-SNU-1;908444;STAD;MSI-H;R;Suspension
